Date,AIA Asset Management,AIA Phillippines,ATR Asset Management,AXA Investment,AXA Life,Allianz PNB Life Insurance,BPI Asset Management,BPI-AIA,Cocolife,FWD Life,Generali Philippines,Insular Life (InLife),Manulife,Manulife Investment Management,Pru Life,Singlife Philippines,Sun Life Grepa,Sun Life Investment,Sunlife
Oct-01-2024,0,"223,992","1,670,825","437,958",0,0,0,"1,732,840",0,0,0,"2,177,929.32","4,215,589.80",0,"941,310",0,"657,213.60",0,"2,626,978"
Oct-02-2024,0,"699,326","1,090,609.49",0,0,"704,628",0,0,0,"1,440,957",0,"152,880","122,720",0,"273,600",0,"373,116",0,"1,142,233.49"
Oct-03-2024,0,"704,940","295,656",0,0,"926,259.38",0,0,0,"720,757",0,"356,208","173,349",0,"1,050,264",0,"257,624.40","1,941,824","416,287.20"
Oct-04-2024,0,"383,730","304,200",0,0,0,0,0,0,"320,231.20",0,"226,200",0,0,"1,004,022",0,0,"529,675.02","1,353,152.12"
Oct-05-2024,0,"313,800",0,0,0,0,0,0,0,"185,814",0,0,0,0,"270,063",0,0,0,"629,690.26"
Oct-06-2024,0,0,0,0,0,0,0,0,0,"182,625",0,0,"220,545",0,"132,000",0,0,0,"2,831,160.83"
Oct-07-2024,0,"313,800","483,489",0,0,0,0,0,0,0,0,"483,276",0,"365,040","1,719,880",0,"1,029,092.20","365,040","460,497"
Oct-08-2024,0,0,"1,448,093.71",0,0,0,0,0,"664,122","290,400",0,0,"215,373",0,"910,026",0,"357,495",0,"387,449.71"
Oct-09-2024,0,0,"236,069.10",0,0,0,0,0,0,0,0,"155,358",0,"236,069.10","1,080,463.40",0,"213,735",0,"1,675,787"
Oct-10-2024,0,0,"429,824.45",0,"2,635,228.80",0,"867,845.70",0,0,0,0,"284,525.57",0,"429,824.45","489,228",0,"107,676.80",0,"125,126.40"
Oct-11-2024,0,0,0,0,"124,800","565,124",0,0,0,0,0,0,0,0,"2,639,789",0,"378,892.20",0,"3,221,052.70"
Oct-12-2024,0,0,0,0,0,"1,584,909","181,280",0,0,0,"703,134",0,0,0,"216,783",0,"231,280.47",0,"603,450"
Oct-13-2024,0,"243,474",0,0,0,"593,283",0,0,0,0,0,0,0,0,"130,800",0,"110,313",0,"285,947.70"
Oct-14-2024,0,"880,362","1,234,693.22","437,958",0,"1,230,172.39",0,0,0,0,0,0,"954,268.50",0,"1,582,214.49",0,"223,829.60","5,233,223.35",0
Oct-15-2024,0,0,"165,768",0,0,"709,280",0,0,0,"218,400",0,0,"1,067,324",0,"1,453,124.71",0,0,0,"362,580"
Oct-16-2024,0,0,"177,408",0,0,"558,762",0,0,0,0,0,0,0,0,"1,503,588",0,"983,390.83",0,0
Oct-17-2024,"1,908,760",0,"3,847,080",0,0,0,0,"793,849.89","5,326,970.98",0,0,0,"123,432",0,"933,123",0,"1,503,331.20","608,832","4,961,986.82"
Oct-18-2024,"2,947,680","691,047","2,009,280","426,474",0,0,0,"92,736","726,548.80",0,0,0,0,0,"7,239,649.56",0,"90,384",0,"7,323,382.56"
Oct-19-2024,0,"763,509.32","19,335.59",0,0,0,0,0,0,0,0,0,"125,768",0,"1,667,397.54",0,0,0,0
Oct-20-2024,0,0,"382,992",0,0,0,"321,477.03",0,0,0,0,0,"386,920.49",0,"1,290,410.39",0,"526,510.85",0,0
Oct-21-2024,0,0,"339,379.29",0,0,0,"519,319.20","632,977.62",0,0,0,0,"828,048","523,044","630,241",0,"590,304",0,"187,881.03"
Oct-22-2024,0,0,0,0,0,"319,200",0,"160,800",0,0,0,0,0,0,"485,550",0,"101,790",0,"1,528,680.50"
Oct-23-2024,0,"678,816","529,251",0,0,0,0,0,0,0,0,0,0,0,0,0,"613,734",0,"3,771,306.80"
Oct-24-2024,0,0,0,"422,820",0,0,0,0,"125,154",0,0,"599,886","1,119,731.56","135,884",0,"448,800","154,200",0,"1,864,860.40"
Oct-25-2024,0,"130,200",0,0,0,0,0,0,0,0,0,0,0,0,"539,346",0,0,0,"5,176,966.47"
Oct-26-2024,0,0,0,0,0,0,0,0,0,0,0,0,0,"227,549.36","372,097.50",0,0,0,"1,016,489.70"
Oct-27-2024,0,"382,200",0,0,0,0,0,0,0,0,0,0,0,0,"465,752",0,0,0,"1,034,400"
Oct-28-2024,0,"766,744","1,119,210.96",0,0,"784,367.34",0,0,0,0,0,0,0,"1,182,279","348,690.96","1,134,342","167,211.18",0,"2,948,431.98"
Oct-29-2024,0,"1,619,196.75","3,089,954",0,"1,610,506.80",0,0,"765,600",0,0,0,0,0,0,"1,065,504",0,"338,352.50","705,354","2,455,790.06"
Oct-30-2024,0,"1,711,636","3,788,604.80",0,"483,000",0,0,"248,997.92",0,"496,620",0,0,0,"1,148,070","166,800",0,"1,220,823","3,974,303.80","1,017,382.31"
Oct-31-2024,0,"2,951,903.56","5,484,121.49",0,"2,809,749",0,0,"161,184",0,"537,485",0,"200,853","2,533,971","964,551.14","490,924.80",0,"971,037","2,548,037.42","1,067,823.77"
